2638 Warring St Berkeley CA 94704,1.3 Miles - Walk Score: 54,1 Bedroom,1 Bathroom,701 sq. ft,$1900
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2001 5th St Berkeley CA 94710,1.4 Miles - Walk Score: 94,1 Bedroom,1 Bathroom,725 sq. ft,$3100
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2020 Fourth St Berkeley CA 94710,1.5 Miles - Walk Score: 92,2 Bedroom,2 Bathroom,1078 sq. ft,$3263
2020 Fourth St Berkeley CA 94710,1.5 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,747 sq. ft,$2572
2511 Prince Street - 3,1.5 Miles - Walk Score: 93,1 Bedroom,1 Bathroom,600 sq. ft,$1800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1438 Grizzly Peak,1.6 Miles - Walk Score: 28,3 Bedroom,2 Bathroom,1899 sq. ft,$5200
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,640 sq. ft,$2605
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1168 sq. ft,$3735
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,851 sq. ft,$2690
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1161 sq. ft,$3620
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,741 sq. ft,$2500
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,1 Bedroom,1 Bathroom,852 sq. ft,$2860
651 Addison St Berkeley CA 94710,1.6 Miles - Walk Score: 88,2 Bedroom,2 Bathroom,1166 sq. ft,$3515
1054 67th St Oakland CA 94608,1.6 Miles - Walk Score: 82,2 Bedroom,1 Bathroom,750 sq. ft,$2175
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
1813 63rd St Berkeley CA 94703,1.6 Miles - Walk Score: 83,2 Bedroom,1 Bathroom,865 sq. ft,$2100
1813 63rd St Berkeley CA 94703,1.6 Miles - Walk Score: 83,2 Bedroom,1 Bathroom,865 sq. ft,$1995
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
3110 College Avenue - 06,1.6 Miles - Walk Score: 92,1 Bedroom,1 Bathroom,900 sq. ft,$2650
2947 Pine Ave Berkeley CA 94705,1.6 Miles - Walk Score: 86,1 Bedroom,1 Bathroom,700 sq. ft,$3450
986 Kains Ave Albany CA 94706,1.7 Miles - Walk Score: 87,2 Bedroom,1 Bathroom,860 sq. ft,$2850
962 63rd St Oakland CA 94608,1.7 Miles - Walk Score: 79,2 Bedroom,1 Bathroom,900 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,1 Bedroom,1 Bathroom,720 sq. ft,$2800
720 61st Street Oakland CA 94609,1.7 Miles - Walk Score: 86,3 Bedroom,2 Bathroom,1500 sq. ft,$5000
Berkeley CA 94703,1.7 Miles - Walk Score: 84,3 Bedroom,2 Bathroom,2100 sq. ft,$4200
722 61st Street Oakland CA 94609,1.8 Miles - Walk Score: 86,2 Bedroom,1 Bathroom,700 sq. ft,$3000
1BR/1 1BA Condo - Close to BART,1.8 Miles - Walk Score: 89,1 Bedroom,1.5 Bathroom,1000 sq. ft,$2495
2055 Center St Berkeley CA 94704,0.2 Miles - Walk Score: 98,Studio,1 Bathroom,459 sq. ft,$2300
